T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
678,Sao Tome and Principe,1995,GDP in current prices (millions of US dollars),99,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2005,GDP in current prices (millions of US dollars),126,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2010,GDP in current prices (millions of US dollars),197,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2015,GDP in current prices (millions of US dollars),318,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2020,GDP in current prices (millions of US dollars),476,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2022,GDP in current prices (millions of US dollars),545,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2023,GDP in current prices (millions of US dollars),684,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,1995,GDP per capita (US dollars),731,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2005,GDP per capita (US dollars),781,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2010,GDP per capita (US dollars),"1,086",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2015,GDP per capita (US dollars),"1,589",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2020,GDP per capita (US dollars),"2,191",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2022,GDP per capita (US dollars),"2,408",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2023,GDP per capita (US dollars),"2,963",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,1995,GDP in constant 2015 prices (millions of US dollars),141,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2005,GDP in constant 2015 prices (millions of US dollars),191,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2010,GDP in constant 2015 prices (millions of US dollars),255,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2015,GDP in constant 2015 prices (millions of US dollars),318,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2020,GDP in constant 2015 prices (millions of US dollars),373,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2022,GDP in constant 2015 prices (millions of US dollars),381,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2023,GDP in constant 2015 prices (millions of US dollars),383,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,1995,GDP real rates of growth (percent),2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2005,GDP real rates of growth (percent),7.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2010,GDP real rates of growth (percent),6.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2015,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2020,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2022,GDP real rates of growth (percent),0.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
678,Sao Tome and Principe,2023,GDP real rates of growth (percent),0.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,1995,GDP in current prices (millions of US dollars),"143,152",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2005,GDP in current prices (millions of US dollars),"328,206",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2010,GDP in current prices (millions of US dollars),"528,207",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2015,GDP in current prices (millions of US dollars),"669,484",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2020,GDP in current prices (millions of US dollars),"734,271",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2022,GDP in current prices (millions of US dollars),"1,108,572",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2023,GDP in current prices (millions of US dollars),"1,067,583",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,1995,GDP per capita (US dollars),"10,772",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2005,GDP per capita (US dollars),"15,963",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2010,GDP per capita (US dollars),"20,996",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2015,GDP per capita (US dollars),"22,335",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2020,GDP per capita (US dollars),"23,693",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2022,GDP per capita (US dollars),"34,454",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2023,GDP per capita (US dollars),"32,094",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,1995,GDP in constant 2015 prices (millions of US dollars),"311,804",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2005,GDP in constant 2015 prices (millions of US dollars),"441,218",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2010,GDP in constant 2015 prices (millions of US dollars),"514,392",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2015,GDP in constant 2015 prices (millions of US dollars),"669,484",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2020,GDP in constant 2015 prices (millions of US dollars),"692,413",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2022,GDP in constant 2015 prices (millions of US dollars),"782,018",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2023,GDP in constant 2015 prices (millions of US dollars),"776,115",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,1995,GDP real rates of growth (percent),0.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2005,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2010,GDP real rates of growth (percent),5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2015,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2020,GDP real rates of growth (percent),-3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2022,GDP real rates of growth (percent),7.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
682,Saudi Arabia,2023,GDP real rates of growth (percent),-0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,1995,GDP in current prices (millions of US dollars),"6,306",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2005,GDP in current prices (millions of US dollars),"11,009",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2010,GDP in current prices (millions of US dollars),"16,121",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2015,GDP in current prices (millions of US dollars),"17,775",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2020,GDP in current prices (millions of US dollars),"24,531",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2022,GDP in current prices (millions of US dollars),"27,619",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2023,GDP in current prices (millions of US dollars),"30,408",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,1995,GDP per capita (US dollars),713,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2005,GDP per capita (US dollars),980,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2010,GDP per capita (US dollars),"1,276",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2015,GDP per capita (US dollars),"1,218",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2020,GDP per capita (US dollars),"1,461",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2022,GDP per capita (US dollars),"1,565",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2023,GDP per capita (US dollars),"1,682",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,1995,GDP in constant 2015 prices (millions of US dollars),"8,313",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2005,GDP in constant 2015 prices (millions of US dollars),"12,573",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2010,GDP in constant 2015 prices (millions of US dollars),"14,575",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2015,GDP in constant 2015 prices (millions of US dollars),"17,775",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2020,GDP in constant 2015 prices (millions of US dollars),"22,864",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2022,GDP in constant 2015 prices (millions of US dollars),"25,291",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2023,GDP in constant 2015 prices (millions of US dollars),"26,388",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,1995,GDP real rates of growth (percent),4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2005,GDP real rates of growth (percent),4.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2010,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2015,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2020,GDP real rates of growth (percent),1.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2022,GDP real rates of growth (percent),3.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
686,Senegal,2023,GDP real rates of growth (percent),4.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,1995,GDP in current prices (millions of US dollars),"21,907",Including Kosovo and Metohija.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2005,GDP in current prices (millions of US dollars),"27,682",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2010,GDP in current prices (millions of US dollars),"41,823",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2015,GDP in current prices (millions of US dollars),"39,656",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2020,GDP in current prices (millions of US dollars),"53,356",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2022,GDP in current prices (millions of US dollars),"63,563",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2023,GDP in current prices (millions of US dollars),"75,187",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,1995,GDP per capita (US dollars),"2,199",Including Kosovo and Metohija.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2005,GDP per capita (US dollars),"3,672",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2010,GDP per capita (US dollars),"5,655",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2015,GDP per capita (US dollars),"5,525",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2020,GDP per capita (US dollars),"7,724",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2022,GDP per capita (US dollars),"9,360",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2023,GDP per capita (US dollars),"11,101",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,1995,GDP in constant 2015 prices (millions of US dollars),"21,208",Including Kosovo and Metohija.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2005,GDP in constant 2015 prices (millions of US dollars),"32,776",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2010,GDP in constant 2015 prices (millions of US dollars),"37,960",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2015,GDP in constant 2015 prices (millions of US dollars),"39,656",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2020,GDP in constant 2015 prices (millions of US dollars),"45,204",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2022,GDP in constant 2015 prices (millions of US dollars),"49,938",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2023,GDP in constant 2015 prices (millions of US dollars),"51,200",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,1995,GDP real rates of growth (percent),5.7,Including Kosovo and Metohija.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2005,GDP real rates of growth (percent),5.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2010,GDP real rates of growth (percent),0.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2015,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2020,GDP real rates of growth (percent),-0.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2022,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
688,Serbia,2023,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,1995,GDP in current prices (millions of US dollars),614,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2005,GDP in current prices (millions of US dollars),919,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2010,GDP in current prices (millions of US dollars),986,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2015,GDP in current prices (millions of US dollars),"1,432",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2020,GDP in current prices (millions of US dollars),"1,383",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2022,GDP in current prices (millions of US dollars),"2,058",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2023,GDP in current prices (millions of US dollars),"2,141",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,1995,GDP per capita (US dollars),"7,859",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2005,GDP per capita (US dollars),"10,296",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2010,GDP per capita (US dollars),"10,382",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2015,GDP per capita (US dollars),"13,358",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2020,GDP per capita (US dollars),"11,494",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2022,GDP per capita (US dollars),"16,395",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2023,GDP per capita (US dollars),"16,735",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,1995,GDP in constant 2015 prices (millions of US dollars),646,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2005,GDP in constant 2015 prices (millions of US dollars),849,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2010,GDP in constant 2015 prices (millions of US dollars),"1,069",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2015,GDP in constant 2015 prices (millions of US dollars),"1,432",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2020,GDP in constant 2015 prices (millions of US dollars),"1,679",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2022,GDP in constant 2015 prices (millions of US dollars),"1,932",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2023,GDP in constant 2015 prices (millions of US dollars),"1,993",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,1995,GDP real rates of growth (percent),-0.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2005,GDP real rates of growth (percent),9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2010,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2015,GDP real rates of growth (percent),8.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2020,GDP real rates of growth (percent),-11.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2022,GDP real rates of growth (percent),14.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
690,Seychelles,2023,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,1995,GDP in current prices (millions of US dollars),"1,179",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2005,GDP in current prices (millions of US dollars),"1,650",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2010,GDP in current prices (millions of US dollars),"2,578",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2015,GDP in current prices (millions of US dollars),"4,751",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2020,GDP in current prices (millions of US dollars),"6,689",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2022,GDP in current prices (millions of US dollars),"7,119",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2023,GDP in current prices (millions of US dollars),"6,412",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,1995,GDP per capita (US dollars),282,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2005,GDP per capita (US dollars),300,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2010,GDP per capita (US dollars),414,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2015,GDP per capita (US dollars),675,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2020,GDP per capita (US dollars),845,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2022,GDP per capita (US dollars),860,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2023,GDP per capita (US dollars),758,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,1995,GDP in constant 2015 prices (millions of US dollars),"2,512",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2005,GDP in constant 2015 prices (millions of US dollars),"2,679",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2010,GDP in constant 2015 prices (millions of US dollars),"3,457",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2015,GDP in constant 2015 prices (millions of US dollars),"4,751",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2020,GDP in constant 2015 prices (millions of US dollars),"7,904",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
